Peter Kreuder;['vintage schlager']
Wim De Craene;['classic belgian pop', 'kleinkunst']
Jon Eardley;['jazz trumpet']
Googie René;['rare groove']
Edmond Clément;['vintage classical singing']
Sammy Babitzin;['classic finnish pop']
Floyd Cramer;['easy listening', 'honky-tonk piano', 'nashville sound']
Renato Sellani;['italian jazz']
Adamo Didur;['vintage classical singing']
Myron Floren;['accordion', 'polka']
Martha Raye;['swing revival']
Kari Tapio;['classic finnish pop', 'classic iskelma', 'iskelma', 'suomi rock']
Pete Jolly;['jazz trio']
Stefano Scodanibbio;['contemporary classical', 'contrabass']
César Guerra-Peixe;['brazilian classical', 'latin classical']
Daniil Shafran;['cello', 'classical cello']
Giulio Neri;['italian bass']
Johann Jacob Bach;['german baroque']
Christoph Bach;['classical era']
William Lloyd Webber;['british modern classical']
Dickie Goodman;['novelty', 'parody']
Marie Hall;['historic classical performance']
Stanley Black;['ballroom', 'easy listening', 'exotica', 'light music', 'lounge']
Hildegarde;['torch song']
Carl Friedrich Zöllner;['german romanticism']
Jāzeps Vītols;['baltic classical']
Oscar Castro-Neves;['bossa nova']
Robert Byrne;['deep soft rock']
David Tudor;['acousmatic', 'american contemporary classical', 'avant-garde', 'free improvisation']
Emilio De Marchi;['italian tenor']
Izabella Yurieva;['russian romance']
La Niña de los Peines;['cante flamenco', 'flamenco', 'nuevo flamenco', 'rumba']
Sardi;['contemporary vocal jazz', 'swing']
Jaak Joala;['estonian pop']
Sammy Masters;['oklahoma country', 'rockabilly']
Iqbal Bano;['classic pakistani pop', 'ghazal', 'sufi']
Sigbjørn Bernhoft Osa;['hardingfele']
Giulio Fioravanti;['italian baritone']
Peter Broggs;['dub', 'reggae', 'roots reggae']
Lucho Bermúdez;['classic colombian pop', 'cumbia', 'porro']
Agustarello Affré;['vintage classical singing']
Giulio Crimi;['italian tenor']
Piero de Palma;['classical tenor', 'italian tenor', 'opera']
Luciano Tajoli;['canzone napoletana', 'classic italian folk pop', 'classic italian pop', 'vintage italian pop']
Carlos Torres Vila;['folklore argentino', 'pop romantico']
Charles-Édouard Lefebvre;['french romanticism']
Ismael Silva;['samba', 'velha guarda']
Joseph Willcox Jenkins;['concert band']
Ned Washington;['movie tunes']
Fadhili William;['benga']
Théodore Salomé;['french romanticism']
Diego del Gastor;['flamenco', 'flamenco guitar']
Juthika Roy;['bhajan']
Anthony Rolfe Johnson;['choral', 'classical tenor']
Percy Faith;['adult standards', 'easy listening', 'lounge']
Michael Carr;['contemporary country', 'country', 'country pop', 'country road', 'modern country rock', 'redneck']
Alí Primera;['classic venezuelan pop', 'nueva cancion', 'venezuelan rock']
Kulwinder Dhillon;['bhangra', 'classic punjabi pop', 'punjabi pop']
Hermann Necke;['german romanticism']
Harry Akst;['tin pan alley']
Ronnie Self;['rock-and-roll', 'rockabilly', 'traditional rockabilly']
Tito Guízar;['ranchera']
Caridad Hierrezuelo;['musica tradicional cubana', 'son cubano clasico']
Gene Rodgers;['boogie-woogie']
Frank C. Stanley;['vaudeville']
Nini Rosso;['easy listening']
Mabel Wayne;['tin pan alley']
Richard Hofmann;['german romanticism']
Antonio Casimir Cartellieri;['classical era']
Michele Mascitti;['italian baroque']
Emil Sjögren;['swedish classical']
Frank La Forge;['american modern classical', 'historic piano performance']
Paul Klengel;['german classical piano']
Herivelto Martins;['velha guarda']
Buster Bailey;['jazz clarinet']
Soni Pabla;['bhangra', 'desi hip hop', 'punjabi pop']
Beto;['corrido', 'deep regional mexican', 'norteno', 'nuevo regional mexicano', 'regional mexican']
Emilis Melngailis;['baltic classical']
Friedrich Wilhelm Jähns;['german romanticism']
Jeanne Behrend;['historic piano performance']
Elsie Baker;['vaudeville']
Nunzio Gallo;['canzone napoletana', 'classic eurovision']
Gábor Gabos;['hungarian classical piano']
William Masselos;['american classical piano']
Peter Allen;['australian rock']
Conny Vandenbos;['classic belgian pop', 'levenslied', 'nederpop', 'vintage dutch pop']
Kim Brown;['float house']
Iwan Knorr;['german romanticism']
Sammy Cahn;['tin pan alley']
Arsenio Rodríguez;['bolero cubano', 'latin jazz', 'mambo', 'musica tradicional cubana', 'son cubano']
Aldo Protti;['classical baritone', 'italian baritone']
Bob Azzam;['arab groove']
Alberto Socarras;['cha-cha-cha', 'jazz cubano', 'jazz flute']
Belle Stewart;['bothy ballad']
Horst Fischer;['jazz trumpet']
Elena Burke;['bolero cubano', 'musica tradicional cubana', 'trova']
Luigi Infantino;['italian tenor']
Edvard Fliflet Bræin;['norwegian classical']
Armand-Louis Couperin;['baroque', 'french baroque', 'galante era']
Sonny Boy Nelson;['country blues', 'delta blues']
Jimmy Radcliffe;['northern soul']
Nida Tüfekçi;['turkish folk']
Big Tiny Little;['honky-tonk piano']
Isham Jones;['tin pan alley']
Art Mooney;['deep adult standards']
Reynaldo Hahn;['french romanticism', 'operetta', 'post-romantic era']
Guilherme de Brito;['samba', 'velha guarda']
Peg Leg Sam;['country blues']
Géo Voumard;['swiss jazz']
Alberto Morán;['tango', 'vintage tango']
Amirbai Karnataki;['classic bollywood', 'filmi']
Roger Frampton;['australian jazz']
Arthur Guitar Boogie Smith;['country boogie']
Raquel Meller;['copla']
Andrzej Kurylewicz;['polish jazz']
Pasha Hristova;['classic bulgarian pop']
Alessandro Bonci;['italian tenor', 'vintage classical singing']
Pierre Bachelet;['chanson', 'french pop', 'vintage french electronic']
King Bennie Nawahi;['vintage hawaiian']
Jonče Hristovski;['macedonian folk']
Julie Wilson;['australian jazz']
Una Mae Carlisle;['torch song', 'vintage jazz']
Adolf Eduard Marschner;['german romanticism']
Margaret Singana;['xhosa']
Alan Lomax;['appalachian folk', 'spirituals', 'traditional blues', 'traditional folk']
Guy Boucher;['chanson quebecois']
Wynona Carr;['jump blues', 'rhythm and blues']
K. G. Ginde;['hindustani vocal', 'indian classical']
Louise Massey;['vintage western']
Georges Hamel;['chanson quebecois', 'country quebecois']
Anselmo López;['classic venezuelan pop']
Mick Mulligan;['dixieland']
Silvestre Vargas;['mariachi', 'ranchera']
Nacio Herb Brown;['tin pan alley']
Teena Marie;['classic soul', 'disco', 'funk', 'motown', 'neo soul', 'new jack swing', 'post-disco', 'quiet storm', 'r&b', 'soul', 'urban contemporary']
Arnold van Mill;['classical bass']
Ray Henderson;['tin pan alley']
Rudi Godden;['vintage schlager']
David Whitfield;['deep adult standards']
Gus Kahn;['tin pan alley']
Robert Carr;['music hall']
William Black;['edm', 'melodic dubstep', 'pop edm', 'traprun']
Amadeus Webersinke;['german classical piano']
Dave Barbour;['lounge']
Marjorie Thomas;['classical mezzo-soprano']
Chris Jones;['audiophile vocal']
Christoph Nichelmann;['galante era']
Hong Nan-pa;['korean contemporary classical']
Johann Adam Birkenstock;['german baroque']
Claudio Rocchi;['italian progressive rock']
Robert Goulet;['adult standards', 'easy listening', 'lounge']
Silvana Armenulić;['narodna muzika', 'sevdah', 'turbo folk']
Arthur Collins;['vaudeville']
Giuseppe Borgatti;['italian tenor']
Katalin Nemes;['hungarian classical piano']
João Domingos Bomtempo;['classical era', 'early romantic era']
Julian Jordan;['big room', 'deep big room', 'dutch edm', 'edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'sky room']
Georgia Lee;['australian blues', 'australian indigenous']
Volfgangs Dārziņš;['baltic classical']
Władysław Żeleński;['polish classical']
Noel Nicola;['nueva cancion', 'trova']
José Ardévol;['neoclassicism']
Catherine Sauvage;['vintage chanson']
Neil Chotem;['prog quebec']
Ray Moore;['black comedy']
Hoyt Ming;['vintage country folk']
Georg von Bertouch;['german baroque']
Celia Gámez;['vintage spanish pop']
Eldee Young;['jazz double bass']
Giovanni Felice Sances;['italian baroque', 'italian opera']
Stefano Rosso;["canzone d'autore", 'classic italian pop']
Édouard de Reszke;['vintage classical singing']
Nappy Lamare;['new orleans jazz']
Sam Singer;['vocal harmony group']
Miguel Aceves Mejía;['bolero', 'mariachi', 'ranchera']
Ayinde Barrister;['fuji']
Walter Damrosch;['american romanticism', 'historic orchestral performance']
Sayed Darwish;['arab folk', 'classic arab pop']
Nikos Gounaris;['rebetiko']
Harry Winter;['classic eurovision']
Neyyattinkara Vasudevan;['carnatic vocal', 'indian classical']
Gianni Poggi;['italian tenor']
Bai Hong;['vintage chinese pop']
Gale Storm;['deep adult standards']
Brewer Phillips;['chicago blues']
Don Fagerquist;['jazz trumpet']
V. G. Jog;['hindustani classical', 'hindustani instrumental', 'indian classical', 'indian violin']
Sergio Fiorentino;['italian classical piano']
Gé Korsten;['afrikaans']
Grethe Sønck;['classic danish pop', 'dansktop']
Riccardo Rognoni;['italian renaissance']
Hussein Fatal;['new jersey rap']
Julius Patzak;['classical tenor']
Dave Tarras;['klezmer', 'yiddish folk']
Keith Moon;['rock drums']
Fernando Corena;['classical bass', 'opera']
Penny Jay;['british country']
Michio Miyagi;['japanese classical', 'japanese traditional', 'koto']
Baby Wayne;['deep ragga']
Ernesto Badini;['italian baritone']
Carla Boni;['canzone napoletana', 'vintage italian pop']
Pierre Van Dormael;['belgian jazz']
Christopher Hogwood;['classical performance', 'historically informed performance', 'orchestral performance']
Alfredo De Angelis;['orquesta tipica', 'tango', 'vintage tango']
Andrzej Koszewski;['polish contemporary classical']
Mahlathini;['xhosa']
Galliano Masini;['italian tenor']
Camille Howard;['boogie-woogie']
Allauddin Khan;['hindustani classical', 'indian classical', 'sarod']
Louise Kirkby Lunn;['vintage classical singing']
Terry Lightfoot;['dixieland']
Jimmy Van Heusen;['tin pan alley']
Johann Sebastian Bach;['baroque', 'classical', 'early music', 'german baroque']
Tony Croatto;['musica jibara', 'puerto rican folk']
Mani Matter;['chinderlieder', 'mundart', 'swiss folk', 'swiss hip hop', 'swiss indie']
Victor Assis Brasil;['bossa nova', 'bossa nova jazz', 'brazilian jazz', 'samba-jazz']
Bjørn Johansen;['norwegian jazz']
David Carroll;['exotica', 'space age pop']
Ludwig Hirsch;['austropop', 'german rock', 'liedermacher']
Ludovic Lamothe;['haitian traditional']
Barney Wilen;['french jazz', 'jazz saxophone']
Martin Fay;['irish fiddle']
George Copeland;['historic piano performance']
Enrico Caruso;['canzone napoletana', 'italian tenor', 'opera', 'vintage classical singing']
Domenico Sarro;['italian baroque']
Charles Wood;['anglican liturgy', 'irish classical']
Kurt Edelhagen;['ballroom', 'german jazz']
Hasret Gültekin;['turkish folk']
John Hodges;['bebop', 'big band', 'cool jazz', 'hard bop', 'jazz', 'jazz saxophone', 'soul jazz', 'stride', 'swing']
Alison Stephens;['classical mandolin']
Mari Trini;['cancion melodica', 'cantautor', 'pop romantico']
David Schnaufer;['instrumental bluegrass', 'mountain dulcimer', 'old-time', 'string folk']
Shinichi Suzuki;['japanese classical']
Arthur Grumiaux;['classical performance', 'violin']
Rajae Belmlih;['classic moroccan pop']
Ede Staal;['streektaal']
František Maxián;['czech classical piano']
Topi Sorsakoski;['classic finnish pop', 'classic finnish rock', 'classic iskelma', 'iskelma', 'rautalanka', 'suomi rock']
Robert Mitchell;['british jazz', 'modern jazz trio']
Hans Henkemans;['dutch classical piano']
Giorgio Consolini;['canzone napoletana', 'classic italian folk pop', 'vintage italian pop']
Nitty Gritty;['bluegrass', 'country', 'country rock', 'folk', 'folk rock', 'mellow gold', 'roots rock', 'soft rock', 'traditional folk']
William Bell;['classic soul', 'funk', 'memphis soul', 'motown', 'soul', 'southern soul']
Ascanio Trombetti;['italian renaissance']
Paulo Moura;['bossa nova', 'choro', 'samba', 'velha guarda', 'violao']
Paco de Lucía;['flamenco', 'flamenco guitar', 'rumba']
Eugenio Fernandi;['italian tenor']
Vesta Tilley;['music hall']
Carlo Zecchi;['historic piano performance']
Philipp Buchner;['german baroque']
Champion Jack Dupree;['acoustic blues', 'barrelhouse piano', 'blues', 'electric blues', 'louisiana blues', 'memphis blues', 'new orleans blues', 'piano blues', 'rhythm and blues', 'traditional blues']
Paul Leka;['hi-nrg']
Brother Joe May;['gospel singers', 'praise']
Elisabetta Barbato;['italian soprano']
Michele Stratico;['galante era']
Cesáreo Gabaráin;['deep latin christian']
François Bazin;['french opera', 'french romanticism']
Phyllis Hyman;['classic soul', 'disco', 'funk', 'motown', 'neo soul', 'philly soul', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']
Oscar Fetrás;['german romanticism']
Paolo Montarsolo;['classical bass', 'italian bass']
King Perry;['nigerian pop']
Karol Mikuli;['polish classical']
William Brand;['neo r&b']
Bernard Stevens;['british modern classical']
Freddie Mercury;['glam rock']
Aurelio Fierro;['canzone napoletana', 'classic italian folk pop', 'classic italian pop', 'vintage italian pop']
Hukwe Zawose;['mbira', 'tanzanian traditional']
Luís Goes;['fado']
Lucien Fugère;['vintage classical singing']
Jim Couza;['hammered dulcimer', 'string folk']
G. Devarajan;['mollywood']
Majrooh Sultanpuri;['classic bollywood']
Paul Brodie;['classical saxophone']
Fyodor Druzhinin;['viola']
